"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
"productNum amount"
"3","2"
"3","2"
"1","9"
